,Player,Team,Rank,Pos,Best,Worst,Avg,Std Dev,ADP
1,Christian McCaffrey,CAR,1,RB1,1,4,1.1,0.3,1
2,Dalvin Cook,MIN,2,RB2,1,6,2.2,0.7,2
3,Alvin Kamara,NO,3,RB3,2,11,3.7,1.4,4
4,Derrick Henry,TEN,4,RB4,2,13,4.4,1.9,3
5,Ezekiel Elliott,DAL,5,RB5,3,19,6.3,3,5
6,Aaron Jones,GB,6,RB6,3,18,7.6,3,7.5
7,Davante Adams,GB,7,WR1,4,16,7.9,2.2,9
8,Saquon Barkley,NYG,8,RB7,2,27,10.5,4.9,8.5
9,Tyreek Hill,KC,9,WR2,5,21,10.6,2.6,11
10,Nick Chubb,CLE,10,RB8,4,27,12.1,5.2,7.5
11,Stefon Diggs,BUF,11,WR3,6,20,12.1,2.6,16
12,Jonathan Taylor,IND,12,RB9,4,29,12.1,5.7,10.5
13,Austin Ekeler,LAC,13,RB10,4,25,12.3,4.7,11.5
14,Travis Kelce,KC,14,TE1,5,24,13.4,4.3,10.5
15,Calvin Ridley,ATL,15,WR4,7,27,14.6,3.4,20
16,DeAndre Hopkins,ARI,16,WR5,6,24,15.5,3,16.5
17,Antonio Gibson,WAS,17,RB11,7,44,17.4,5.2,18
18,Najee Harris,PIT,18,RB12,5,51,19.6,6.4,14
19,D.K. Metcalf,SEA,19,WR6,12,34,20.3,4.4,19.5
20,Joe Mixon,CIN,20,RB13,8,47,21.1,7,17
21,A.J. Brown,TEN,21,WR7,9,39,21.6,4.7,25
22,Justin Jefferson,MIN,22,WR8,12,33,21.6,4,25.5
23,Darren Waller,LV,23,TE2,15,46,25,7.2,24
24,Keenan Allen,LAC,24,WR9,13,47,25.8,5.2,27
25,Clyde Edwards-Helaire,KC,25,RB14,10,50,26.1,6.4,20.5
26,Allen Robinson II,CHI,26,WR10,15,41,27.4,4.2,34
27,Terry McLaurin,WAS,27,WR11,19,45,28.7,4.1,30.5
28,Patrick Mahomes II,KC,28,QB1,18,62,30.3,11.9,20.5
29,Chris Carson,SEA,29,RB15,16,52,31.3,6.7,27
30,CeeDee Lamb,DAL,30,WR12,15,55,31.6,6.3,35
31,David Montgomery,CHI,31,RB16,18,74,32.9,8.7,27.5
32,D'Andre Swift,DET,32,RB17,9,66,34.5,9.6,33.5
33,James Robinson,JAC,33,RB18,18,84,35.9,10.5,32.5
34,George Kittle,SF,34,TE3,17,55,36.1,10.1,26.5
35,Mike Evans,TB,35,WR13,23,60,37,6.8,37
36,Robert Woods,LAR,36,WR14,24,64,37.1,6.7,42
37,Chris Godwin,TB,37,WR15,23,76,38,7.5,44
38,Amari Cooper,DAL,38,WR16,26,64,38,6.6,43.5
39,Miles Sanders,PHI,39,RB19,20,74,41.9,9.8,38
40,Josh Allen,BUF,40,QB2,19,69,42.1,11.2,36
41,D.J. Moore,CAR,41,WR17,28,81,43.8,9.9,54.5
42,Julio Jones,TEN,42,WR18,25,88,44.2,10.1,43
43,Josh Jacobs,LV,43,RB20,28,71,44.6,8.3,30
44,Cooper Kupp,LAR,44,WR19,27,85,44.8,8.6,47.5
45,Tyler Lockett,SEA,45,WR20,30,80,46.7,9.7,52.5
46,Diontae Johnson,PIT,46,WR21,30,98,49.1,11.1,52
47,Mike Davis,ATL,47,RB21,29,73,49.2,9,48.5
48,Gus Edwards,BAL,48,RB22,26,129,49.5,14.5,69
49,Darrell Henderson,LAR,49,RB23,27,83,49.8,12.1,39.5
50,Kyler Murray,ARI,50,QB3,19,77,53.1,11.3,40
51,Mark Andrews,BAL,51,TE4,36,75,54.4,6.6,52.5
52,Adam Thielen,MIN,52,WR22,32,102,54.5,11.7,53.5
53,Kareem Hunt,CLE,53,RB24,33,85,54.6,9,49
54,Myles Gaskin,MIA,54,RB25,31,105,55.3,12.5,48
55,T.J. Hockenson,DET,55,TE5,28,100,55.6,10.6,56.5
56,Kyle Pitts,ATL,56,TE6,27,92,56.6,11.2,45
57,Lamar Jackson,BAL,57,QB4,18,105,56.9,13.2,48.5
58,Damien Harris,NE,58,RB26,24,95,57.5,12.9,65
59,Tee Higgins,CIN,59,WR23,31,96,58.7,13.7,66.5
60,Brandon Aiyuk,SF,60,WR24,38,95,59.7,12.1,59.5
61,Javonte Williams,DEN,61,RB27,33,106,62.2,12,61
62,Chase Edmonds,ARI,62,RB28,39,101,62.8,13,60
63,Dak Prescott,DAL,63,QB5,33,97,63.4,10.6,60
64,Russell Wilson,SEA,64,QB6,25,113,69.4,10.6,63.5
65,Chase Claypool,PIT,65,WR25,39,145,69.4,14.6,66
66,Raheem Mostert,SF,66,RB29,42,114,69.5,13.8,61
67,Odell Beckham Jr.,CLE,67,WR26,42,128,70.2,14.3,70.5
68,Aaron Rodgers,GB,68,QB7,44,129,72.6,10.9,66
69,Jerry Jeudy,DEN,69,WR27,39,122,73.4,16.5,71
70,Kenny Golladay,NYG,70,WR28,43,128,73.8,15.2,70.5
71,Trey Sermon,SF,71,RB30,41,133,74.9,18,73.5
72,Melvin Gordon III,DEN,72,RB31,34,127,75.8,16.5,74
73,Ja'Marr Chase,CIN,73,WR29,44,134,76,16.5,71.5
74,Justin Herbert,LAC,74,QB8,45,112,76.3,9.1,61.5
75,Robby Anderson,CAR,75,WR30,36,132,78.7,16.8,84
76,Ronald Jones II,TB,76,RB32,52,140,79.2,18.2,74
77,JuJu Smith-Schuster,PIT,77,WR31,46,120,79.3,14.8,83.5
78,Courtland Sutton,DEN,78,WR32,50,120,79.6,13.6,81
79,Tyler Boyd,CIN,79,WR33,55,130,85,15,92.5
80,Noah Fant,DEN,80,TE7,57,133,85.4,15.1,80.5
81,Michael Carter,NYJ,81,RB33,53,162,86.9,21.1,82.5
82,Logan Thomas,WAS,82,TE8,51,151,87.7,19.8,82.5
83,James Conner,ARI,83,RB34,56,168,88,17.5,93.5
84,Ryan Tannehill,TEN,84,QB9,51,148,89.5,12.6,98
85,Zack Moss,BUF,85,RB35,55,158,90.5,18.6,87
86,Brandin Cooks,HOU,86,WR34,49,170,91.2,17.6,98
87,Deebo Samuel,SF,87,WR35,39,170,91.2,18.9,85.5
88,Tom Brady,TB,88,QB10,49,133,88.3,12.3,78
89,Jalen Hurts,PHI,89,QB11,60,157,93.4,14.7,99.5
90,Leonard Fournette,TB,90,RB36,59,182,94.6,20.7,87
91,Matthew Stafford,LAR,91,QB12,64,135,97,12.2,88
92,Dallas Goedert,PHI,92,TE9,54,161,97.3,18.9,86.5
93,AJ Dillon,GB,93,RB37,60,177,97.5,20.6,92
94,Robert Tonyan,GB,94,TE10,62,149,98,17.6,93.5
95,Corey Davis,NYJ,95,WR36,54,170,98,22.2,104
96,Kenyan Drake,LV,96,RB38,56,255,98.3,21.7,105.5
97,Antonio Brown,TB,97,WR37,43,175,99.7,23.4,88
98,D.J. Chark Jr.,JAC,98,WR38,47,183,99.8,23.6,93.5
99,Will Fuller V,MIA,99,WR39,58,171,100.2,19.6,111.5
100,Jamaal Williams,DET,100,RB39,68,172,100.9,17.4,110
101,DeVonta Smith,PHI,101,WR40,35,173,101,22.4,84.5
102,Tyler Higbee,LAR,102,TE11,62,236,101.1,23.7,108.5
103,Laviska Shenault Jr.,JAC,103,WR41,61,184,102.9,22.2,96.5
104,Devin Singletary,BUF,104,RB40,70,178,107,17.4,104
105,Nyheim Hines,IND,105,RB41,71,180,109.3,20.7,127
106,Mike Gesicki,MIA,106,TE12,65,161,110.2,17.7,108
107,Jarvis Landry,CLE,107,WR42,52,156,110.2,19.5,110.5
108,Tony Pollard,DAL,108,RB42,68,226,112.3,19.7,114.5
109,Mike Williams,LAC,109,WR43,62,217,112.8,22.8,118.5
110,Curtis Samuel,WAS,110,WR44,71,184,113.1,21,124
111,David Johnson,HOU,111,RB43,52,278,113.9,35.3,103
112,Joe Burrow,CIN,112,QB13,70,198,108.2,16.3,115
113,Jonnu Smith,NE,113,TE13,63,164,117.9,19,138.5
114,Michael Gallup,DAL,114,WR45,65,184,118,19.7,134
115,Marvin Jones Jr.,JAC,115,WR46,76,185,120.8,22.2,134.5
116,Michael Pittman Jr.,IND,116,WR47,78,195,124.3,24.1,107
117,Phillip Lindsay,HOU,117,RB44,66,234,120.2,29.1,118.5
118,Jaylen Waddle,MIA,118,WR48,60,203,130,26.3,102
119,James White,NE,119,RB45,81,259,130.6,25.3,176
120,Michael Thomas,NO,120,WR49,71,227,131.9,34.2,65
121,Marquez Callaway,NO,121,WR50,75,197,132.6,29.8,125
122,Matt Ryan,ATL,122,QB14,70,223,123.3,20.5,142.5
123,Darnell Mooney,CHI,123,WR51,86,208,133,24,118
124,Trevor Lawrence,JAC,124,QB15,89,224,123.1,22.9,126
125,Evan Engram,NYG,125,TE14,68,230,133.8,21.9,171.5
126,Sony Michel,LAR,126,RB46,58,242,122,40.5,126.5
127,Marquise Brown,BAL,127,WR52,88,223,138.6,24.1,137
128,DeVante Parker,MIA,128,WR53,89,194,139,23.7,167
129,Rob Gronkowski,TB,129,TE15,74,278,139.2,29.2,112.5
130,J.D. McKissic,WAS,130,RB47,68,240,133.4,27.5,143.5
131,Kirk Cousins,MIN,131,QB16,80,240,126.8,24,173
132,Hunter Henry,NE,132,TE16,91,255,144.1,23.6,165.5
133,Alexander Mattison,MIN,133,RB48,89,253,144.2,27.8,131.5
134,Gerald Everett,SEA,134,TE17,84,260,149.2,31.9,182
135,Giovani Bernard,TB,135,RB49,76,265,148.4,35.5,158.5
136,Tua Tagovailoa,MIA,136,QB17,91,255,140.3,30.3,190
137,Mecole Hardman,KC,137,WR54,94,221,153.2,29.3,119
138,Cole Kmet,CHI,138,TE18,95,261,156,30.7,200
139,Jared Cook,LAC,139,TE19,76,289,159.8,33.5,168.5
140,Russell Gage,ATL,140,WR55,86,271,156.8,31.8,146.5
141,Henry Ruggs III,LV,141,WR56,92,234,158.4,27,127
142,Elijah Moore,NYJ,142,WR57,93,297,154.1,37.3,142.5
143,Baker Mayfield,CLE,143,QB18,90,273,144.8,29.6,143.5
144,Tevin Coleman,NYJ,144,RB50,86,282,147.3,35.9,151
145,Blake Jarwin,DAL,145,TE20,106,271,161.4,28.8,222
146,Cole Beasley,BUF,146,WR58,80,222,158.4,29,169.5
147,Jakobi Meyers,NE,147,WR59,77,286,158.8,40.9,150
148,Austin Hooper,CLE,148,TE21,91,265,162.8,30.8,191
149,Latavius Murray,NO,149,RB51,81,284,142.6,41.9,135.5
150,Ryan Fitzpatrick,WAS,150,QB19,81,355,150.7,36.5,206.5
151,Sterling Shepard,NYG,151,WR60,104,274,168.2,27.6,198
152,Nelson Agholor,NE,152,WR61,114,293,168.3,31.1,166.5
153,Ben Roethlisberger,PIT,153,QB20,109,256,151.6,30.7,189
154,Justin Fields,CHI,154,QB21,93,325,159.5,45.6,140
155,Rashaad Penny,SEA,155,RB52,108,321,167.9,40.5,155.5
156,Jalen Reagor,PHI,156,WR62,111,286,173.7,26.8,190
157,Zach Ertz,PHI,157,TE22,108,306,174.3,35,182
158,Gabriel Davis,BUF,158,WR63,90,316,181.8,34,207
159,Tre'Quan Smith,NO,159,WR64,96,285,184.4,34.5,203
160,Anthony Firkser,TEN,160,TE23,106,342,174.6,39.1,223
161,Derek Carr,LV,161,QB22,102,254,166.8,31.7,220
162,Emmanuel Sanders,BUF,162,WR65,120,244,180,27.4,210
163,Adam Trautman,NO,163,TE24,104,319,172,41.5,188
164,Rondale Moore,ARI,164,WR66,101,284,176.5,38.4,180
